url,text,media_url,comments,time,likes,comment_count,page name
https://facebook.com/Orient.Pearl.Rest/videos/221757939128528/?__tn__=kC-R&eid=ARBJQhoQRYE0859Skfy_-jTuxutXzcw83bYjmLHijVLmT1kijztM6tplU36KwqumEu6EePPp1pkqngkY&hc_ref=ARSUc8C-UJf1mGQu5ibBKe2m45psBrrqaIG8Pxgyl9qY_25zdGLifuiCcyz-1WR9GJw&fref=nf&__xts__[0]=68.ARAYCbcIiXT4Jov_s5eUSWsBpUdBRpX2qK8D1mO-V8g2EfHsBvNErLEprQKkihQjjVnwzgqk4wJOdxQk9rdtp-o6jWKglIa8EodwM_3RRyL6kEl2gcx5bMEm9qlQZgKvgvDd_B2B2fE09kMQXqX0JOUQZXYn21_MGxBeouHv6W8ZJ8XGSoepIznKhiDckA_RUpGkTFOjEq5lbrvIsyHvxAqwRqyyLibHo9UUOLIcXHmKpVSKMklfTLAkhfW5_KiDRj84Zlcf6HzxhNJ561-XULxvCvMm1BIPDT7xR0Ov3UYDGQi9fUkTL_FUYyc0q945creScgijL39OksmbnI3SZGJQ4A,Give your Iftar a unique taste with our authentic Oriental dishes! ,,,30-04-2020,18,1,OrientPearl
https://facebook.com/Orient.Pearl.Rest/videos/236031057498890/?__tn__=kC-R&eid=ARBJQhoQRYE0859Skfy_-jTuxutXzcw83bYjmLHijVLmT1kijztM6tplU36KwqumEu6EePPp1pkqngkY&hc_ref=ARSUc8C-UJf1mGQu5ibBKe2m45psBrrqaIG8Pxgyl9qY_25zdGLifuiCcyz-1WR9GJw&fref=nf&__xts__[0]=68.ARAYCbcIiXT4Jov_s5eUSWsBpUdBRpX2qK8D1mO-V8g2EfHsBvNErLEprQKkihQjjVnwzgqk4wJOdxQk9rdtp-o6jWKglIa8EodwM_3RRyL6kEl2gcx5bMEm9qlQZgKvgvDd_B2B2fE09kMQXqX0JOUQZXYn21_MGxBeouHv6W8ZJ8XGSoepIznKhiDckA_RUpGkTFOjEq5lbrvIsyHvxAqwRqyyLibHo9UUOLIcXHmKpVSKMklfTLAkhfW5_KiDRj84Zlcf6HzxhNJ561-XULxvCvMm1BIPDT7xR0Ov3UYDGQi9fUkTL_FUYyc0q945creScgijL39OksmbnI3SZGJQ4A,Give your Iftar a unique taste with our authentic Oriental dishes! For delivery: ,,,30-04-2020,28,,OrientPearl
https://facebook.com/Orient.Pearl.Rest/videos/590686325161834/?__tn__=kC-R&eid=ARBB4V267L55tqYRfYjyDXeO_Los0M6K8XNA64xcIqbHzT6N2AUhwIHq2GCldG1QikzOhNGsY34jGzCP&hc_ref=ARQyDRA2f6Nd0a_HscmaSTVebqsu_NlU0rv6MHrAn5jCuhic5DiPX_9nk3sUcxOGerk&fref=nf&__xts__[0]=68.ARARRVAAwEMkZFDSaM7ZACn5PvYBfZcLQZZLrS2CHDpk-OFk1dfkNQEwInt7O9kkhnqvu2aZuNCmqEwBcKfM8UrFZUiR5qdkProCYNtHdXwG6nBuhxij4_F5AZuMqOkA-NvjCrUGVKaQrvkCNNeGCjwCFvYbH0ZHUerzGhGW063bYEZXnjQLQOIq837KMmhsg9KPQEwHOIqz3xx9upYeGBk0mA4BvKLcVfy7a1MOWlkAR-i6uf96OGPVPWRWsfA6qTR8YkbVmoAi72p-DPTA_8NT9HmFyiqrgRP9QvTjl1CgDJbtm8AKTTsIXSAb513DHsPaNrIpp7IV6xto9H2qPmZVMQ,We wish you a peaceful and blessed Ramadan. We offer you an amazing special menu rich in wide and magnificent Oriental dishes. For more information: 44106600 - 66664448,,,23-04-2020,21,10,OrientPearl
https://facebook.com/Orient.Pearl.Rest/photos/a.555879437874765/2573805332748822/?type=3&theater,A mother is a blessing that nothing could replace Happy Mother Day,,,21-03-2020,429,2,OrientPearl
https://facebook.com/Orient.Pearl.Rest/photos/a.555879437874765/2568796466583042/?type=3&theater,"Following the decision of the Government, our doors will be closed until further notice. See you soon",,,19-03-2020,10,,OrientPearl
https://facebook.com/Orient.Pearl.Rest/videos/214522572960669/?__tn__=kC-R&eid=ARBsw-08QBC6ygq9-HmrTfnrbiPBQxo2FuC-7DD8iVNVrTAD-C7E6OMoGnlT-X1MKIeKtl5Tr2BzaRWY&hc_ref=ARSrXoU1SmAvRu9D-MKl7frQF53qWTgFTOYhUrAxAMuzJSCt6OhiuHCq-EeumyYDvPE&fref=nf&__xts__[0]=68.ARAR-n_3t6c4j4PfT17Uh0z8iq4vJ3c5z8P0Mr-TVy3GjXH30yaJYBMWdoE5DerqnC4nEGDV0y0XOXHJh3vz6dWfhr_lGatOBKgJSdWPLBfCWmF57ogufHbJ1oScoDg9hXPHZbsRrQQAEbO6fK0vJU_e4gI3oxrU6RG2gk8e4CuEuP__jLvukW68OAE3f84hrkBLyktveUnzfqvAuNxqRkv6j9SoEYPiMXqvAat-YHOsNLBzIRqW7jnNJiJxqfmvbkBub6k1TYt03Y9OGz8WQO_TluY4ZhUhLr6X6OrHvJuVb9s6T52jSoLYvotiZWo5r4CWMoSgDg6qmIR9HmF6jy2MTA,"Ensuring the highest standards of quality, safety and hygiene! For delivery",,,17-03-2020,64,12,OrientPearl
https://facebook.com/Orient.Pearl.Rest/photos/a.555879437874765/2555806941215328/?type=3&theater,Any plans for the weekend Our terrace is the perfect spot,,,12-03-2020,625,2,OrientPearl
https://facebook.com/Orient.Pearl.Rest/photos/a.555879437874765/2545714558891233/?type=3&theater,We would love to wish you a Happy International Women’s Day! An equal world is an enabled world! #EachForEqual,,,07-03-2020,508,4,OrientPearl
https://facebook.com/story.php?story_fbid=2545714785557877&id=265870090209036&refid=17&_ft_=mf_story_key.2545714785557877%3Atop_level_post_id.2545714785557877%3Atl_objid.2545714785557877%3Acontent_owner_id_new.265870090209036%3Athrowback_story_fbid.2545714785557877%3Apage_id.265870090209036%3Aphoto_id.2545714558891233%3Astory_location.4%3Astory_attachment_style.photo%3Atds_flgs.3%3Apage_insights.%7B%22265870090209036%22%3A%7B%22page_id%22%3A265870090209036%2C%22actor_id%22%3A265870090209036%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A266%2C%22publish_time%22%3A1583586827%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22story_fbid%22%3A%5B2545714785557877%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A4%2C%22targets%22%3A%5B%7B%22actor_id%22%3A265870090209036%2C%22page_id%22%3A265870090209036%2C%22post_id%22%3A2545714785557877%2C%22role%22%3A1%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.265870090209036%3A306061129499414%3A2%3A0%3A1585724399%3A-3053091149533728446&__tn__=%2AW-R#footer_action_list,The perfect destination to spend the best times in your weekend!,facebook.com/Orient.Pearl.Rest/photos/a.555879437874765/2545714558891233/?type=3&refid=52&_ft_=mf_story_key.2545714785557877%3Atop_level_post_id.2545714785557877%3Atl_objid.2545714785557877%3Acontent_owner_id_new.265870090209036%3Athrowback_story_fbid.2545714785557877%3Apage_id.265870090209036%3Aphoto_id.2545714558891233%3Astory_location.4%3Astory_attachment_style.photo%3Atds_flgs.3%3Apage_insights.%7B%22265870090209036%22%3A%7B%22page_id%22%3A265870090209036%2C%22actor_id%22%3A265870090209036%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A266%2C%22publish_time%22%3A1583586827%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22story_fbid%22%3A%5B2545714785557877%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A4%2C%22targets%22%3A%5B%7B%22actor_id%22%3A265870090209036%2C%22page_id%22%3A265870090209036%2C%22post_id%22%3A2545714785557877%2C%22role%22%3A1%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.265870090209036&__tn__=EH-R," 'Ah besides in the corniche road.', 'profile_name': 'Jerry Amores Salud', 'profile_url': '/jerryamores.salud'}, {'text': 'Very nice place.  Doha qater', 'profile_name': 'Md Joynal', 'profile_url': '/profile.php'}, {'text': 'I want job in your hotel', 'profile_name': 'Askir Alom', 'profile_url': '/askir.alom'}]",05-03-2020,621,3,OrientPearl
https://facebook.com/Orient.Pearl.Rest/photos/a.555879437874765/2535839023212120/?type=3&theater,Start your day with a wide variety of items from our  new and amazing breakfast menu,,,02-03-2020,784,,OrientPearl
https://facebook.com/Orient.Pearl.Rest/videos/1060932454293022/,It’s not just football!!! It’s a War! ? Enjoy the CLASICO at Orient Pearl this,,,28-02-2020,117,2,OrientPearl
https://facebook.com/Orient.Pearl.Rest/photos/a.555879437874765/2526928804103142/?type=3&theater,Bankers!!! What are you up to this Sunday?! Celebrate the bank holiday at any of Aura Hospitality and Food Services and Palma Group mentioned on the post and enjoy an exclusive 25% throughout the day. Don’t forget to bring with you your bank ID.,facebook.com/Orient.Pearl.Rest/photos/a.555879437874765/2541167626012593/?type=3&refid=52&_ft_=mf_story_key.2541167732679249%3Atop_level_post_id.2541167732679249%3Atl_objid.2541167732679249%3Acontent_owner_id_new.265870090209036%3Athrowback_story_fbid.2541167732679249%3Apage_id.265870090209036%3Aphoto_id.2541167626012593%3Astory_location.4%3Astory_attachment_style.photo%3Atds_flgs.3%3Apage_insights.%7B%22265870090209036%22%3A%7B%22page_id%22%3A265870090209036%2C%22actor_id%22%3A265870090209036%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A266%2C%22publish_time%22%3A1583388082%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22story_fbid%22%3A%5B2541167732679249%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A4%2C%22targets%22%3A%5B%7B%22actor_id%22%3A265870090209036%2C%22page_id%22%3A265870090209036%2C%22post_id%22%3A2541167732679249%2C%22role%22%3A1%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.265870090209036&__tn__=EH-R," 'Haya ???????', 'profile_name': 'Laila Taha', 'profile_url': '/laila.taha.90'}, {'text': 'Dareen Al-Dasuqi ??', 'profile_name': 'Amal Hajir', 'profile_url': '/amool.hajir'}]",27-02-2020,893,4,OrientPearl
https://facebook.com/story.php?story_fbid=2526928974103125&id=265870090209036&refid=17&_ft_=mf_story_key.2526928974103125%3Atop_level_post_id.2526928974103125%3Atl_objid.2526928974103125%3Acontent_owner_id_new.265870090209036%3Athrowback_story_fbid.2526928974103125%3Apage_id.265870090209036%3Aphoto_id.2526928804103142%3Astory_location.4%3Astory_attachment_style.photo%3Atds_flgs.3%3Apage_insights.%7B%22265870090209036%22%3A%7B%22page_id%22%3A265870090209036%2C%22actor_id%22%3A265870090209036%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A266%2C%22publish_time%22%3A1582783439%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22story_fbid%22%3A%5B2526928974103125%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A4%2C%22targets%22%3A%5B%7B%22actor_id%22%3A265870090209036%2C%22page_id%22%3A265870090209036%2C%22post_id%22%3A2526928974103125%2C%22role%22%3A1%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.265870090209036%3A306061129499414%3A2%3A0%3A1585724399%3A-3977256222747374676&__tn__=%2AW-R#footer_action_list, Vote Now for Aura and Palma restaurants! www.factqatar.com/vote-now-fact-dining-awards-doha-2020/ Aura Hospitality and Food Services Orient Pearl Restaurant ???? ????? ?????  Jwala Restaurant La Casa twenty eight Baladna Mart Debs W Remman Sazeli Qatar Usta Doner Mokarabia Qatar Gahwetna ?????? Basta,facebook.com/Orient.Pearl.Rest/photos/a.555879437874765/2526928804103142/?type=3&refid=52&_ft_=mf_story_key.2526928974103125%3Atop_level_post_id.2526928974103125%3Atl_objid.2526928974103125%3Acontent_owner_id_new.265870090209036%3Athrowback_story_fbid.2526928974103125%3Apage_id.265870090209036%3Aphoto_id.2526928804103142%3Astory_location.4%3Astory_attachment_style.photo%3Atds_flgs.3%3Apage_insights.%7B%22265870090209036%22%3A%7B%22page_id%22%3A265870090209036%2C%22actor_id%22%3A265870090209036%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A266%2C%22publish_time%22%3A1582783439%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22story_fbid%22%3A%5B2526928974103125%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A4%2C%22targets%22%3A%5B%7B%22actor_id%22%3A265870090209036%2C%22page_id%22%3A265870090209036%2C%22post_id%22%3A2526928974103125%2C%22role%22%3A1%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.265870090209036&__tn__=EH-R," 'National restaurant', 'profile_name': 'Muhanad Hodayfa', 'profile_url': '/muhanad.hdefe'}, {'text': 'Orient pearl', 'profile_name': 'Adham Alrayis', 'profile_url': '/adham.alrayis'}, {'text': 'orient pearl restaurant', 'profile_name': 'Man Kumar Rai Rai', 'profile_url': '/mankumarrai.rai.35'}, {'text': 'Baladna Mart', 'profile_name': 'Khatoun Oghlinian Haddad', 'profile_url': '/khatoun.haddad'}]",24-02-2020,2000,6,OrientPearl
